id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
10	spot	-30	58.5	52.23312	39.56935	178.1444	76	63.93861	1.997393	1,1,1,1
11	spot	-30	58.5	104.4317	39.65084	178.8189	52	67.30157	3.462634	1,1,1,1
12	spot	-30	58.5	115.5831	36.97464	288.0633	71	69.36207	1.951604	1,1,1,1
13	spot	30	58.5	107.276	47.09281	262.7945	114	59.57471	1.310561	1,1,1,1
14	spot	30	58.5	100.6245	41.34916	349.9716	58	54.42347	2.226336	1,1,1,1
15	spot	30	58.5	58.66757	43.20073	355.0253	57	54.42347	2.913168	1,1,1,1
16	spot	30	58.5	30.13366	38.272	11.37092	64	40	2.363703	1,1,1,1
17	spot	-30	58.5	41.65813	49.94821	97.95897	76	48.24198	2.638436	1,1,1,1
