id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
1	spot	-30	73.5	146.3689	48.10488	276.1267	146	54.93859	1.264772	1,1,1,1
2	spot	30	73.5	155.3636	44.11011	269.1117	134	57.51422	1.310561	1,1,1,1
3	spot	0	73.5	81.21645	0	0	98	49.78736	3.6	1,1,1,1
4	spot	-30	73.5	132.3553	39.56936	189.5153	97	59.05958	3.6	1,1,1,1
6	spot	-30	73.5	72.75182	38.272	186.9884	95	66.27131	3.050534	1,1,1,1
7	spot	-30	73.5	39.30132	43.20073	107.392	126	62.66545	2.043181	1,1,1,1
8	spot	30	73.5	122.5878	40.86671	340.5385	100	60.60496	3.6	1,1,1,1
9	spot	30	73.5	57.21238	37.62333	3.790305	119	57.51422	2.730013	1,1,1,1
10	spot	30	73.5	43.41623	47.3535	77.06953	95	37.93951	3.23369	1,1,1,1
